order_id,pharmacy_id,pharmacy_name,placed_at,product_id,product_name,manufacturer,requested_qty,unit
ORD-000010,PHARM-013,Nasr City Cure · Damanhur,2025-10-16T20:25:05.308Z,PROD-0081,NAVILUCA 2MG/ML VIAL FOR I.V. INF. 25 ML(N/A YET),ARABCOMED-EGYPT > ROTABIOGEN,10,pack
ORD-000011,PHARM-019,Luxor Temple Dispensary · Mansoura,2026-01-10T05:31:26.028Z,PROD-0114,TALA 100 MG 15 SACHETS,SAVYMIXX > NUTRIPHARMA  LTD,40,pack
ORD-000012,PHARM-011,Maadi Prescription Hub · Asyut,2026-08-05T10:01:56.348Z,PROD-0075,FELTADO MASSAGE CREAM 80 GM,EGYPTIAN CO. FOR COSMETICS > DOCARE PHARM,50,pack
ORD-000012,PHARM-011,Maadi Prescription Hub · Asyut,2026-08-05T10:01:56.348Z,PROD-0074,VASCON 5 MG 20 TABS.,HI-PHARM,100,pack
ORD-000012,PHARM-011,Maadi Prescription Hub · Asyut,2026-08-05T10:01:56.348Z,PROD-0031,RINGER (OTSUKA ATECO) I.V. INF. 500 ML,OTSUKA  ATECO PHARMA > OTSUKA,200,pack
ORD-000012,PHARM-011,Maadi Prescription Hub · Asyut,2026-08-05T10:01:56.348Z,PROD-0136,MOXITRIX 400MG/250ML SOL. FOR INF.,ARAB CO. FOR MEDICAL PRODUCTS > SPIMACO MISR,40,pack
ORD-000013,PHARM-012,Heliopolis Community Pharmacy · Zagazig,2026-02-13T06:13:27.558Z,PROD-0135,IDULAIR 10MG 7 F.C.TAB.,SMITHKLINE BEECHAM > GLAXO SMITHKLINE,75,pack
ORD-000014,PHARM-020,Aswan River Care · Tanta,2026-04-22T11:44:57.868Z,PROD-0178,PRETTIER SUN SCREEN SPF 50+ CREAM 60 GM,EGYPTIAN COMPANY FOR COSMETICS > PRETTIER,30,pack
ORD-000015,PHARM-039,New Cairo Premier · Port Said,2026-06-04T07:27:23.544Z,PROD-0141,ORASTATIN 100.000 I.U/ML ORAL SUSP. 30 ML,MEPACO > HI-PHARM,60,pack
ORD-000016,PHARM-042,Shorouk Central Pharmacy · Zagazig,2026-08-06T21:33:31.234Z,PROD-0131,GLOBISOLONE 500MG I.V./I.M. LYOPHILIZED POWDER VIAL,GLOBAL PHARMACEUTICAL INDUSTRIES,10,pack
ORD-000017,PHARM-042,Shorouk Central Pharmacy · Zagazig,2026-04-15T09:40:26.797Z,PROD-0057,DEVART B12 1000 MCG 30 SUBLINGUAL TABS,DEVARTLAB > BIOERA,10,pack
ORD-000018,PHARM-042,Shorouk Central Pharmacy · Zagazig,2025-10-30T01:57:26.969Z,PROD-0103,HEMACHEF  30 CAPS,ORGANEX > CHEFAA MEDICAL,60,pack
ORD-000019,PHARM-009,Pharos Health · Port Said,2026-08-09T02:30:35.916Z,PROD-0046,USERVIVE 200 ML VAGINAL DOUSH,NILE COSMETICS > AL SALAM MEDICAL,150,pack
ORD-000020,PHARM-002,El-Ezaby Branch · Giza,2026-01-09T14:01:24.501Z,PROD-0091,SODIUM CHLORIDE 0.9% & DEXTROSE 5% (OTSUKA ATECO) I.V. INF. 500 ML,OTSUKA  ATECO PHARMA > OTSUKA,40,pack
ORD-000020,PHARM-002,El-Ezaby Branch · Giza,2026-01-09T14:01:24.501Z,PROD-0010,AVIVATOR 5/10 MG 21 F.C. TAB. (N/A),MARCYRL PHARMACEUTICAL INDUSTRIES (MPI),150,pack
ORD-000020,PHARM-002,El-Ezaby Branch · Giza,2026-01-09T14:01:24.501Z,PROD-0168,SAXAPTIN PLUS 5/1000 MG 10 EXT. REL. F.C. TABS.,MASH PREMIERE > BIOMED PHARMACEUTICALS,50,pack
ORD-000020,PHARM-002,El-Ezaby Branch · Giza,2026-01-09T14:01:24.501Z,PROD-0185,EXTRA VIT POWDER 10 SACHETS 20 GM,MEDCARE > DIAMOND  PHARMA COMPANY,100,pack
ORD-000021,PHARM-017,Mansoura City Pharmacy · Giza,2026-01-08T09:33:36.589Z,PROD-0038,CARVID 25MG 30 TAB.,MULTI-APEX,75,pack
ORD-000022,PHARM-035,Sharm El-Sheikh Clinic Pharmacy · Tanta,2026-02-20T15:57:20.624Z,PROD-0045,EPIRAX 20 TAB.,EIPICO,40,pack
ORD-000023,PHARM-002,El-Ezaby Branch · Giza,2026-08-10T19:10:24.677Z,PROD-0190,GRASP 50 MG 20 F.C. TABS.,EGYPHAR,50,pack
ORD-000024,PHARM-032,Banha Nile Dispensary · Giza,2026-04-25T06:39:08.141Z,PROD-0093,EXPECTOFLU 20 CAPS.,INTERNATIONAL DRUG AGENCY (IDI) > NOVELL PHARMA,25,pack
ORD-000025,PHARM-042,Shorouk Central Pharmacy · Zagazig,2026-01-11T15:50:43.278Z,PROD-0079,MAVEY 30 CAPS.,> SMAFY PHARMA,150,pack
ORD-000025,PHARM-042,Shorouk Central Pharmacy · Zagazig,2026-01-11T15:50:43.278Z,PROD-0050,CINNARIDONE 10 TAB. (N/A),ARAB DRUG COMPANY (ADCO),20,pack
ORD-000025,PHARM-042,Shorouk Central Pharmacy · Zagazig,2026-01-11T15:50:43.278Z,PROD-0031,RINGER (OTSUKA ATECO) I.V. INF. 500 ML,OTSUKA  ATECO PHARMA > OTSUKA,100,pack
ORD-000025,PHARM-042,Shorouk Central Pharmacy · Zagazig,2026-01-11T15:50:43.278Z,PROD-0110,PROFENID 50 MG 24 CAPS.,SANOFI,50,pack
ORD-000026,PHARM-014,Dokki Health Store · Beni Suef,2026-06-11T11:35:41.981Z,PROD-0070,COMTAPONE 200 MG 30 F.C.TAB.,CHEMIPHARM,150,pack
ORD-000026,PHARM-014,Dokki Health Store · Beni Suef,2026-06-11T11:35:41.981Z,PROD-0148,REGETAL CREAM 50 GM,LEADER COSMETICS > AGLAN PHARMA,10,pack
ORD-000026,PHARM-014,Dokki Health Store · Beni Suef,2026-06-11T11:35:41.981Z,PROD-0110,PROFENID 50 MG 24 CAPS.,SANOFI,200,pack
ORD-000026,PHARM-014,Dokki Health Store · Beni Suef,2026-06-11T11:35:41.981Z,PROD-0010,AVIVATOR 5/10 MG 21 F.C. TAB. (N/A),MARCYRL PHARMACEUTICAL INDUSTRIES (MPI),75,pack
ORD-000027,PHARM-008,Alexandria Central · Ismailia,2025-11-05T14:17:13.361Z,PROD-0121,DRAKON UNDER-ARM WHITENING CREAM 50 GM,XFACTOR MEDICAL > PHARMA CRUISE MEDICAL,50,pack
ORD-000028,PHARM-037,6th of October Wellness · Aswan,2026-08-07T17:47:13.467Z,PROD-0077,FEBURIC 120 MG 10 F.C. TABS.,HIKMA PHARMA,60,pack
ORD-000029,PHARM-033,Arish Palm Pharmacy · Alexandria,2026-02-08T09:04:46.223Z,PROD-0024,BIOTIN FORTE 5MG 60 CAPS.,UNIPHARMA,30,pack
ORD-000029,PHARM-033,Arish Palm Pharmacy · Alexandria,2026-02-08T09:04:46.223Z,PROD-0081,NAVILUCA 2MG/ML VIAL FOR I.V. INF. 25 ML(N/A YET),ARABCOMED-EGYPT > ROTABIOGEN,50,pack
ORD-000030,PHARM-021,Ismailia Canal Pharmacy · Luxor,2025-10-09T05:18:13.952Z,PROD-0115,TOMED LACTOFERRIN 200 MG MULTIVITAMIN,SWIVEL NUTRIENT > WELLMED,100,pack
ORD-000031,PHARM-022,Port Said Gate Pharmacy · Aswan,2026-08-04T01:06:01.586Z,PROD-0156,PROCIDAL 10% TOPICAL SOLUTION 200 ML (N/A),GLOBAL PHARMACEUTICAL INDUSTRIES,200,pack
ORD-000032,PHARM-050,Mataria Central Pharmacy · Tanta,2026-08-13T17:30:50.096Z,PROD-0147,GYBENASH 300 MG 30 CAPS.,BIOMED,20,pack
ORD-000033,PHARM-012,Heliopolis Community Pharmacy · Zagazig,2026-07-15T14:35:10.596Z,PROD-0020,WOUNCURE TOPICAL POWDER 20 GM,RIVA PHARMA S.A.E. > QUADRA PHARM,20,pack
ORD-000034,PHARM-014,Dokki Health Store · Beni Suef,2026-08-02T22:42:02.880Z,PROD-0005,TAMINORIG 2MCG/ML ORAL DROPS. 10 ML,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI),100,pack
ORD-000035,PHARM-046,Helwan Oasis Pharmacy · Cairo,2026-01-18T21:19:13.532Z,PROD-0196,VITAMOUNT SYRUP 120ML,AMOUN,150,pack
ORD-000035,PHARM-046,Helwan Oasis Pharmacy · Cairo,2026-01-18T21:19:13.532Z,PROD-0098,LUCOCID-R 3% OINT. 30 GM,CID,30,pack
ORD-000035,PHARM-046,Helwan Oasis Pharmacy · Cairo,2026-01-18T21:19:13.532Z,PROD-0100,ZAVEDOS 10 MG VIAL(N/A),PFIZER,200,pack
ORD-000036,PHARM-038,Sheikh Zayed Care · Ismailia,2025-12-11T02:28:20.626Z,PROD-0090,DEXTROSE 25% (ALLMED) I.V. INF. 500 ML (RUBBER CAP),ALLMED MIDDLE EAST,40,pack
ORD-000037,PHARM-016,Giza Oasis Care · Cairo,2026-01-21T17:23:23.590Z,PROD-0050,CINNARIDONE 10 TAB. (N/A),ARAB DRUG COMPANY (ADCO),50,pack
ORD-000037,PHARM-016,Giza Oasis Care · Cairo,2026-01-21T17:23:23.590Z,PROD-0013,FLUCAMOX 250MG/5ML SUSP. 80ML,SEDICO,75,pack
ORD-000037,PHARM-016,Giza Oasis Care · Cairo,2026-01-21T17:23:23.590Z,PROD-0060,FERNILAR 5 MG 20 F.C.TABS.,EGPI > ABBOTT,40,pack
ORD-000038,PHARM-003,Seif Care Center · Alexandria,2026-04-04T13:25:22.714Z,PROD-0103,HEMACHEF  30 CAPS,ORGANEX > CHEFAA MEDICAL,60,pack
ORD-000039,PHARM-031,Shibin El-Kom Med · Cairo,2025-10-03T12:12:11.347Z,PROD-0024,BIOTIN FORTE 5MG 60 CAPS.,UNIPHARMA,25,pack
ORD-000039,PHARM-031,Shibin El-Kom Med · Cairo,2025-10-03T12:12:11.347Z,PROD-0200,EGYFINE CREAM 50 GM,LEADER COSMETICS > VORTEX,50,pack
ORD-000039,PHARM-031,Shibin El-Kom Med · Cairo,2025-10-03T12:12:11.347Z,PROD-0083,NERVIDOX 30 SUBLINGUAL TABS.,DEBEIKY > LAMAR PHARMA,100,pack
ORD-000040,PHARM-032,Banha Nile Dispensary · Giza,2026-07-31T17:07:57.380Z,PROD-0082,FLIXOTIDE 2MG/2ML 10 INH. NEBULES,GLAXO SMITHKLINE,10,pack
ORD-000041,PHARM-043,Madinaty Community Care · Damanhur,2026-06-30T20:28:54.100Z,PROD-0029,GONE ANTI-DANDRUFF SHAMPOO 250 ML,EL-HELOU PERFUMES & COSMETICS > SAFE LIFE,75,pack
ORD-000042,PHARM-013,Nasr City Cure · Damanhur,2026-04-20T07:31:59.967Z,PROD-0171,NANO REPAIR 50 GM GEL,DREAMS RLHABOBA > MODERN NANO,100,pack
ORD-000042,PHARM-013,Nasr City Cure · Damanhur,2026-04-20T07:31:59.967Z,PROD-0079,MAVEY 30 CAPS.,> SMAFY PHARMA,40,pack
ORD-000043,PHARM-039,New Cairo Premier · Port Said,2026-07-21T12:32:08.558Z,PROD-0077,FEBURIC 120 MG 10 F.C. TABS.,HIKMA PHARMA,40,pack
ORD-000044,PHARM-010,Zamalek Wellness · Suez,2026-07-31T00:14:58.716Z,PROD-0158,OPTIBA 10 SACHETS,PHARMAZAD > PHARMALINE,20,pack
ORD-000045,PHARM-030,Kafr El-Sheikh Hub · Minya,2026-08-02T03:17:32.308Z,PROD-0052,CLARIKAN S.R. 500 MG 14 F.C. TAB.,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI),25,pack
ORD-000046,PHARM-029,Damietta Coast Pharmacy · Beni Suef,2026-06-29T01:27:24.394Z,PROD-0117,LEUPRO-SANDOZ 1-MONTH-DEPOT 1 SYRINGE,SANDOZ > NOVARTIS,10,pack
ORD-000047,PHARM-049,Ain Shams Health Hub · Mansoura,2026-04-21T13:20:08.369Z,PROD-0059,DAPOXTARD 60 MG 3 F.C. TABS.,AUG PHARMA,200,pack
ORD-000048,PHARM-016,Giza Oasis Care · Cairo,2026-08-09T22:53:21.914Z,PROD-0101,TOUJEO SOLOSTAR 300 I.U./ML 1.5 ML 5 PENS,SANOFI,100,pack
ORD-000049,PHARM-021,Ismailia Canal Pharmacy · Luxor,2026-05-14T06:35:14.266Z,PROD-0043,FARCOSEF 500MG VIAL,PHARCO B,40,pack
ORD-000049,PHARM-021,Ismailia Canal Pharmacy · Luxor,2026-05-14T06:35:14.266Z,PROD-0061,OPTIDEX -T EYE DROPS 5 ML,JAMJOOM PHARMACEUTICALS,10,pack
ORD-000049,PHARM-021,Ismailia Canal Pharmacy · Luxor,2026-05-14T06:35:14.266Z,PROD-0123,KIVAMIXO 60ML SYRUP,PHARMAZAD > STAY GREEN,200,pack
ORD-000050,PHARM-004,Misr Modern Dispensary · Mansoura,2026-04-02T07:41:38.645Z,PROD-0003,INFINITY EYE CONTOUR SERUM 40 ML,EGYPTIAN COMPANY FOR COSMETICS > INFINITY PHARM,10,pack
ORD-000051,PHARM-026,Qena Family Care · Asyut,2026-04-08T02:52:20.220Z,PROD-0039,CEPHOXIN 250MG/5ML DRY SUSP. 60 ML,PHARCO B,40,pack
ORD-000052,PHARM-029,Damietta Coast Pharmacy · Beni Suef,2026-01-09T03:02:19.241Z,PROD-0090,DEXTROSE 25% (ALLMED) I.V. INF. 500 ML (RUBBER CAP),ALLMED MIDDLE EAST,60,pack
ORD-000052,PHARM-029,Damietta Coast Pharmacy · Beni Suef,2026-01-09T03:02:19.241Z,PROD-0008,ALUMATREND ORAL SUSP. 240 ML (N/A),DEBEIKY > TREND PHARM,40,pack
ORD-000052,PHARM-029,Damietta Coast Pharmacy · Beni Suef,2026-01-09T03:02:19.241Z,PROD-0063,DECLOPHEN 12.5MG 5 INFANTILE SUPP.,PHARCO,60,pack
ORD-000052,PHARM-029,Damietta Coast Pharmacy · Beni Suef,2026-01-09T03:02:19.241Z,PROD-0105,FERTONA 30 PIECES,> AFIFI PHARMA,100,pack
ORD-000053,PHARM-048,Imbaba Community Dispensary · Alexandria,2026-02-12T07:45:25.947Z,PROD-0120,AVEROZOLID 200MG/100ML I.V. INFUSION 300 ML,OTSUKA > AVERROES PHARMA-EGYPT,20,pack
ORD-000054,PHARM-043,Madinaty Community Care · Damanhur,2026-03-31T15:04:51.009Z,PROD-0174,PICOPREP POWDER FOR ORAL SOLN. 2 SACHETS,FERRING PHARMACEUTICALS > MULTIPHARMA,200,pack
ORD-000055,PHARM-002,El-Ezaby Branch · Giza,2026-08-02T13:17:43.911Z,PROD-0023,TRUMENT TOPICAL OINT. 30 GM (N/A),ZAD,50,pack
ORD-000055,PHARM-002,El-Ezaby Branch · Giza,2026-08-02T13:17:43.911Z,PROD-0044,CAMISAN CREAM 20 GM,EIPICO,30,pack
ORD-000055,PHARM-002,El-Ezaby Branch · Giza,2026-08-02T13:17:43.911Z,PROD-0077,FEBURIC 120 MG 10 F.C. TABS.,HIKMA PHARMA,75,pack
ORD-000055,PHARM-002,El-Ezaby Branch · Giza,2026-08-02T13:17:43.911Z,PROD-0101,TOUJEO SOLOSTAR 300 I.U./ML 1.5 ML 5 PENS,SANOFI,30,pack
ORD-000056,PHARM-004,Misr Modern Dispensary · Mansoura,2026-04-19T08:59:32.362Z,PROD-0075,FELTADO MASSAGE CREAM 80 GM,EGYPTIAN CO. FOR COSMETICS > DOCARE PHARM,75,pack
ORD-000057,PHARM-033,Arish Palm Pharmacy · Alexandria,2025-12-16T01:19:38.978Z,PROD-0043,FARCOSEF 500MG VIAL,PHARCO B,60,pack
ORD-000058,PHARM-031,Shibin El-Kom Med · Cairo,2026-01-06T15:08:24.752Z,PROD-0039,CEPHOXIN 250MG/5ML DRY SUSP. 60 ML,PHARCO B,30,pack
ORD-000059,PHARM-037,6th of October Wellness · Aswan,2025-11-08T22:50:14.881Z,PROD-0073,NIGHT CALM 3 MG 30 F.C.TABS.,MEDIZEN PHARMACEUTICAL INDUSTRIES,200,pack
ORD-000060,PHARM-038,Sheikh Zayed Care · Ismailia,2026-08-05T05:50:42.154Z,PROD-0151,CORDALEN 100 ML OIL SPRAY,ECC > BME PHARMA,25,pack
ORD-000060,PHARM-038,Sheikh Zayed Care · Ismailia,2026-08-05T05:50:42.154Z,PROD-0041,ORELOX 100MG 10 F.C. TAB. (CANCELLED),SANOFI,30,pack
ORD-000061,PHARM-045,Katameya Health Gate · Minya,2026-04-01T02:00:06.158Z,PROD-0106,UNIMER PED. ISOTONIC 9% NASAL SPRAY 100ML,LDPSA > WALFARM,50,pack
ORD-000062,PHARM-014,Dokki Health Store · Beni Suef,2026-07-18T16:31:40.613Z,PROD-0190,GRASP 50 MG 20 F.C. TABS.,EGYPHAR,10,pack
ORD-000063,PHARM-038,Sheikh Zayed Care · Ismailia,2026-06-14T18:58:55.999Z,PROD-0050,CINNARIDONE 10 TAB. (N/A),ARAB DRUG COMPANY (ADCO),75,pack
ORD-000064,PHARM-009,Pharos Health · Port Said,2026-08-09T00:29:13.383Z,PROD-0129,GLUCOPHAGE 1000 MG 30 F.C.TABS.,MINA PHARM > MERCK SANTE-FRANCE,40,pack
ORD-000065,PHARM-025,Zagazig Central Pharmacy · Suez,2025-12-18T03:53:18.002Z,PROD-0064,KODAFERT 30 SACHETS,ORGANIX > KODAK,150,pack
ORD-000066,PHARM-006,Pyramids Medical · Luxor,2026-04-21T08:02:43.755Z,PROD-0156,PROCIDAL 10% TOPICAL SOLUTION 200 ML (N/A),GLOBAL PHARMACEUTICAL INDUSTRIES,20,pack
ORD-000067,PHARM-007,Delta Cure Pharmacy · Aswan,2025-10-14T17:17:18.951Z,PROD-0014,DERMAZAD CREAM 50 GM,ZAD,40,pack
ORD-000068,PHARM-047,Shubra Al-Kheima Care · Giza,2026-04-24T21:30:10.171Z,PROD-0159,KIDZVITONE 30 GUMMIES,AMCOMED,50,pack
ORD-000068,PHARM-047,Shubra Al-Kheima Care · Giza,2026-04-24T21:30:10.171Z,PROD-0011,NORVASC VAL 5/160MG 30 F.C.TABS.,PFIZER > VIATRIS EGYPT,10,pack
ORD-000068,PHARM-047,Shubra Al-Kheima Care · Giza,2026-04-24T21:30:10.171Z,PROD-0167,QPS GLIMPSE 50 GM DEODORANT STICK,LEVEN > QPS FOR AGENCIES,25,pack
ORD-000068,PHARM-047,Shubra Al-Kheima Care · Giza,2026-04-24T21:30:10.171Z,PROD-0169,CAROGIX 30 TABS.,MEDCARE > THREE ONE PHARMA,75,pack
ORD-000069,PHARM-033,Arish Palm Pharmacy · Alexandria,2026-08-05T03:35:52.104Z,PROD-0129,GLUCOPHAGE 1000 MG 30 F.C.TABS.,MINA PHARM > MERCK SANTE-FRANCE,30,pack
ORD-000070,PHARM-040,Obour City Pharmacy · Suez,2026-02-26T13:48:51.901Z,PROD-0047,NEURAZINE 50MG/2ML 100 I.M. AMPS.(N/A),MISR,75,pack
ORD-000071,PHARM-015,Mohandessin Pharmacy · Minya,2026-08-07T23:38:55.399Z,PROD-0032,CAL-MAG-JOINT 30 TABS.,HOCHSTER PHARMACEUTICAL INDUSTRIES,40,pack
ORD-000071,PHARM-015,Mohandessin Pharmacy · Minya,2026-08-07T23:38:55.399Z,PROD-0040,SUPRAX 200 MG 8 CAPS.,KAHIRA > HIKMA PHARMA,60,pack
ORD-000072,PHARM-016,Giza Oasis Care · Cairo,2026-08-04T11:47:50.674Z,PROD-0167,QPS GLIMPSE 50 GM DEODORANT STICK,LEVEN > QPS FOR AGENCIES,50,pack
ORD-000072,PHARM-016,Giza Oasis Care · Cairo,2026-08-04T11:47:50.674Z,PROD-0107,EVOMASH SYRUP 120 ML,MASH PREMIERE,150,pack
ORD-000073,PHARM-013,Nasr City Cure · Damanhur,2026-01-16T11:33:44.856Z,PROD-0051,CISTAPRONT C SYRUP 120 ML,TAG PHARMA,25,pack
ORD-000074,PHARM-024,Asyut University Dispensary · Port Said,2026-08-05T12:22:50.244Z,PROD-0133,S-26 PROMIL GOLD 2 MILK 400 GM,PFIZER > FOOD AND BEVERAGE TRADING,60,pack
ORD-000075,PHARM-027,Sohag Sun Pharmacy · Zagazig,2025-10-26T02:15:39.867Z,PROD-0022,DIFRAREL 100 - 20 F.C.TAB.,AMOUN > LEURQUIN - FRANCE,60,pack
ORD-000075,PHARM-027,Sohag Sun Pharmacy · Zagazig,2025-10-26T02:15:39.867Z,PROD-0078,FENU H 20 CAPSULES,DAWA EGYPT INTERNATIONAL > UNITRADE PHARMA,25,pack
ORD-000076,PHARM-036,Marsa Matruh Health · Luxor,2026-06-20T10:49:18.956Z,PROD-0167,QPS GLIMPSE 50 GM DEODORANT STICK,LEVEN > QPS FOR AGENCIES,30,pack
ORD-000077,PHARM-003,Seif Care Center · Alexandria,2026-03-21T05:20:50.273Z,PROD-0017,ATOR 10 MG 7 TABS.,EIPICO,50,pack
ORD-000078,PHARM-031,Shibin El-Kom Med · Cairo,2025-10-25T12:32:05.108Z,PROD-0121,DRAKON UNDER-ARM WHITENING CREAM 50 GM,XFACTOR MEDICAL > PHARMA CRUISE MEDICAL,25,pack
ORD-000079,PHARM-047,Shubra Al-Kheima Care · Giza,2026-02-10T14:16:16.460Z,PROD-0155,CLEAR- SCALP 180 ML SHAMPOO,NILE COSMETICS-EGYPT > EUREKA PHARMACEUTICAL,30,pack
ORD-000079,PHARM-047,Shubra Al-Kheima Care · Giza,2026-02-10T14:16:16.460Z,PROD-0162,RANDOLANEX 100 MG 20 SACHETS,PHAROPHARMA,40,pack
ORD-000079,PHARM-047,Shubra Al-Kheima Care · Giza,2026-02-10T14:16:16.460Z,PROD-0175,RONY SWEET 1.5G*50 SACHETS,MED CARE > BAHRAIN PHARMA,25,pack
ORD-000080,PHARM-021,Ismailia Canal Pharmacy · Luxor,2026-07-12T23:51:10.335Z,PROD-0089,ACUCORT CREAM 60 GM,EGYPTIAN COMPANY FOR COSMETICS > SPEDA PHARMA,60,pack
ORD-000080,PHARM-021,Ismailia Canal Pharmacy · Luxor,2026-07-12T23:51:10.335Z,PROD-0058,CYTARABINE 500MG/10ML VIAL(N/A),CHOONGWAE PHARMA-KOREA > GENERAL TECHNOLOGY-EGYPT,40,pack
ORD-000080,PHARM-021,Ismailia Canal Pharmacy · Luxor,2026-07-12T23:51:10.335Z,PROD-0054,ZOOVY  SPRAY,ELNIL > HEALING PHARMA,200,pack
ORD-000081,PHARM-016,Giza Oasis Care · Cairo,2025-12-15T16:18:44.154Z,PROD-0049,TOPGING ADVANCE 30 CAPS.,MASH PREMIERE > BIOMED,25,pack
ORD-000082,PHARM-004,Misr Modern Dispensary · Mansoura,2026-03-13T10:44:04.231Z,PROD-0196,VITAMOUNT SYRUP 120ML,AMOUN,40,pack
ORD-000083,PHARM-049,Ain Shams Health Hub · Mansoura,2026-07-15T23:20:03.980Z,PROD-0037,NOVEX CARBAMIDE CREAM 30 GM,HI-CARE > NOVEX,40,pack
ORD-000084,PHARM-004,Misr Modern Dispensary · Mansoura,2026-08-07T13:31:02.143Z,PROD-0136,MOXITRIX 400MG/250ML SOL. FOR INF.,ARAB CO. FOR MEDICAL PRODUCTS > SPIMACO MISR,200,pack
ORD-000084,PHARM-004,Misr Modern Dispensary · Mansoura,2026-08-07T13:31:02.143Z,PROD-0185,EXTRA VIT POWDER 10 SACHETS 20 GM,MEDCARE > DIAMOND  PHARMA COMPANY,200,pack
ORD-000084,PHARM-004,Misr Modern Dispensary · Mansoura,2026-08-07T13:31:02.143Z,PROD-0023,TRUMENT TOPICAL OINT. 30 GM (N/A),ZAD,60,pack
ORD-000085,PHARM-019,Luxor Temple Dispensary · Mansoura,2026-08-05T08:55:56.426Z,PROD-0023,TRUMENT TOPICAL OINT. 30 GM (N/A),ZAD,40,pack
ORD-000086,PHARM-044,Rehab City Medical · Beni Suef,2026-05-25T22:17:39.195Z,PROD-0120,AVEROZOLID 200MG/100ML I.V. INFUSION 300 ML,OTSUKA > AVERROES PHARMA-EGYPT,60,pack
